iter	Passed	Remaining
0	146	73346
1	151	37846
2	156	25994
3	160	19954
4	167	16544
5	173	14269
6	180	12721
7	186	11487
8	192	10502
9	198	9718
10	205	9115
11	209	8515
12	213	8003
13	220	7643
14	224	7249
15	229	6935
16	234	6676
17	240	6452
18	246	6239
19	250	6023
20	255	5831
21	260	5663
22	266	5523
23	271	5377
24	276	5260
25	281	5136
26	286	5023
27	291	4922
28	295	4792
29	299	4696
30	305	4623
31	310	4536
32	315	4460
33	320	4398
34	325	4329
35	330	4264
36	335	4195
37	339	4126
38	341	4040
39	345	3974
40	349	3911
41	352	3847
42	356	3791
43	360	3733
44	363	3677
45	367	3627
46	371	3576
47	374	3527
48	378	3479
49	380	3427
50	383	3377
51	385	3322
52	389	3280
53	392	3241
54	395	3203
55	399	3163
56	402	3125
57	405	3088
58	408	3055
59	412	3025
60	415	2991
61	419	2960
62	422	2930
63	425	2900
64	429	2873
65	432	2845
66	436	2818
67	439	2791
68	442	2766
69	446	2741
70	448	2711
71	451	2686
72	455	2662
73	458	2639
74	461	2616
75	464	2593
76	468	2572
77	471	2549
78	474	2527
79	477	2506
80	480	2486
81	483	2465
82	486	2445
83	489	2425
84	493	2407
85	496	2390
86	499	2373
87	503	2356
88	506	2339
89	510	2324
90	513	2309
91	517	2295
92	521	2281
93	524	2267
94	528	2252
95	532	2238
96	535	2223
97	538	2207
98	541	2195
99	545	2183
100	549	2171
101	553	2159
102	557	2147
103	560	2135
104	567	2136
105	571	2125
106	575	2113
107	579	2103
108	583	2092
109	586	2080
110	590	2069
111	594	2057
112	597	2046
113	601	2035
114	605	2025
115	609	2016
116	613	2007
117	616	1995
118	620	1987
119	624	1978
120	628	1968
121	632	1961
122	637	1953
123	641	1945
124	645	1935
125	649	1927
126	653	1919
127	657	1909
128	660	1900
129	665	1893
130	669	1884
131	672	1875
132	676	1866
133	680	1858
134	684	1850
135	688	1843
136	692	1834
137	696	1826
138	700	1818
139	704	1810
140	708	1803
141	712	1795
142	715	1787
143	719	1779
144	723	1770
145	727	1762
146	730	1754
147	733	1745
148	737	1736
149	740	1727
150	743	1719
151	747	1710
152	750	1702
153	754	1694
154	757	1685
155	760	1677
156	763	1669
157	767	1660
158	770	1652
159	774	1644
160	777	1636
161	780	1628
162	783	1620
163	787	1613
164	790	1605
165	793	1597
166	797	1589
167	800	1582
168	804	1575
169	807	1567
170	811	1560
171	814	1553
172	818	1546
173	822	1540
174	825	1533
175	829	1526
176	832	1519
177	836	1512
178	839	1505
179	842	1498
180	846	1491
181	849	1484
182	852	1477
183	856	1470
184	860	1464
185	863	1457
186	866	1450
187	870	1444
188	873	1437
189	876	1430
190	880	1423
191	883	1416
192	886	1409
193	889	1403
194	893	1396
195	896	1391
196	900	1385
197	904	1379
198	908	1374
199	912	1369
200	917	1364
201	920	1358
202	924	1352
203	928	1347
204	932	1341
205	935	1335
206	939	1330
207	943	1324
208	948	1320
209	951	1314
210	955	1308
211	959	1303
212	962	1297
213	966	1291
214	970	1286
215	974	1280
216	977	1275
217	981	1270
218	985	1264
219	989	1258
220	993	1253
221	996	1248
222	1000	1242
223	1004	1237
224	1007	1231
225	1011	1226
226	1015	1221
227	1019	1216
228	1023	1210
229	1027	1205
230	1030	1200
231	1034	1194
232	1038	1189
233	1041	1184
234	1045	1179
235	1049	1174
236	1054	1169
237	1057	1164
238	1061	1158
239	1065	1153
240	1068	1148
241	1072	1143
242	1076	1138
243	1080	1133
244	1084	1128
245	1088	1123
246	1091	1118
247	1095	1113
248	1098	1107
249	1102	1102
250	1106	1097
251	1110	1092
252	1114	1087
253	1118	1083
254	1122	1078
255	1127	1074
256	1131	1069
257	1134	1064
258	1138	1059
259	1141	1053
260	1145	1048
261	1148	1043
262	1151	1037
263	1155	1032
264	1159	1027
265	1162	1022
266	1166	1017
267	1170	1012
268	1173	1007
269	1177	1002
270	1181	998
271	1184	993
272	1188	988
273	1191	983
274	1195	978
275	1198	972
276	1202	967
277	1205	962
278	1208	957
279	1212	952
280	1215	947
281	1219	942
282	1223	937
283	1226	932
284	1229	927
285	1233	922
286	1236	917
287	1239	912
288	1243	907
289	1246	902
290	1249	897
291	1253	892
292	1257	888
293	1260	883
294	1264	878
295	1268	874
296	1272	869
297	1275	864
298	1279	860
299	1282	855
300	1285	849
301	1288	845
302	1292	840
303	1295	835
304	1298	830
305	1302	825
306	1305	820
307	1309	816
308	1312	811
309	1315	806
310	1319	801
311	1322	797
312	1325	792
313	1329	787
314	1332	782
315	1336	778
316	1339	773
317	1342	768
318	1346	764
319	1350	759
320	1353	754
321	1357	750
322	1361	745
323	1364	741
324	1368	736
325	1371	732
326	1375	727
327	1378	723
328	1382	718
329	1385	713
330	1389	709
331	1392	704
332	1395	700
