iter	Passed	Remaining
0	3	1116
1	6	1001
2	10	994
3	12	946
4	15	909
5	18	909
6	21	895
7	24	899
8	27	897
9	30	887
10	33	880
11	36	874
12	39	876
13	42	866
14	45	862
15	48	853
16	51	854
17	54	850
18	58	860
19	61	854
20	63	850
21	66	845
22	69	842
23	72	833
24	75	831
25	78	829
26	81	822
27	84	820
28	87	814
29	89	809
30	92	803
31	95	797
32	98	796
33	101	794
34	104	792
35	107	788
36	110	786
37	113	781
38	116	778
39	119	774
40	121	768
41	124	764
42	127	760
43	130	757
44	133	755
45	136	752
46	139	750
47	141	742
48	144	739
49	147	735
50	150	733
51	153	731
52	156	728
53	158	722
54	161	718
55	163	713
56	166	708
57	169	705
58	171	701
59	174	697
60	177	695
61	180	692
62	183	690
63	186	686
64	188	683
65	191	679
66	194	676
67	197	673
68	200	670
69	203	667
70	206	664
71	209	662
72	212	659
73	214	656
74	217	652
75	220	649
76	223	646
77	226	643
78	228	639
79	231	637
80	234	633
81	237	630
82	239	627
83	242	623
84	245	619
85	247	616
86	250	613
87	253	610
88	256	606
89	258	603
90	261	601
91	264	597
92	266	594
93	269	590
94	272	588
95	275	585
96	278	582
97	281	580
98	284	577
99	287	574
100	290	571
101	292	568
102	295	565
103	299	563
104	302	561
105	305	558
106	308	556
107	311	553
108	314	551
109	317	548
110	320	545
111	323	542
112	326	540
113	329	537
114	332	535
115	335	532
116	339	530
117	342	527
118	345	525
119	348	522
120	351	519
121	354	517
122	357	514
123	360	511
124	363	509
125	366	506
126	369	503
127	372	501
128	375	498
129	379	495
130	382	492
131	385	490
132	387	486
133	391	484
134	394	481
135	397	479
136	400	476
137	403	473
138	406	470
139	409	467
140	411	464
141	415	461
142	418	458
143	421	456
144	424	453
145	426	450
146	430	447
147	433	444
148	435	441
149	439	439
150	441	435
151	444	433
152	447	430
153	450	426
154	453	423
155	455	420
156	458	417
157	461	414
158	464	411
159	467	408
160	469	405
161	472	402
162	475	399
163	478	396
164	480	393
165	483	390
166	486	387
167	489	384
168	491	381
169	494	378
170	497	375
171	499	372
172	502	368
173	504	365
174	507	362
175	510	359
176	513	356
177	515	353
178	518	350
179	521	347
180	523	344
181	526	341
182	528	338
183	531	335
184	534	332
185	537	329
186	540	326
187	542	323
188	545	320
189	548	317
190	550	314
191	553	311
192	556	308
193	559	305
194	561	302
195	564	299
196	566	296
197	569	293
198	572	290
199	574	287
200	577	284
201	580	281
202	583	278
203	585	275
204	588	272
205	591	269
206	594	266
207	596	264
208	599	261
209	602	258
210	605	255
211	608	252
212	612	250
213	615	247
214	618	244
215	621	241
216	624	238
217	627	236
218	630	233
219	634	230
220	637	227
221	640	225
222	643	222
223	646	219
224	649	216
225	652	213
226	656	210
227	658	208
228	661	205
229	664	202
230	668	199
231	671	196
232	674	193
233	677	191
234	680	188
235	683	185
236	687	182
237	689	179
238	692	176
239	696	174
240	699	171
241	701	168
242	704	165
243	707	162
244	710	159
245	713	156
246	716	153
247	719	150
248	722	148
249	725	145
250	728	142
251	731	139
252	734	136
253	737	133
254	740	130
255	744	127
256	747	125
257	750	122
258	754	119
259	757	116
260	760	113
261	763	110
262	766	107
263	769	104
264	772	101
265	775	99
266	777	96
267	781	93
268	784	90
269	788	87
270	790	84
271	794	81
272	796	78
273	799	75
274	802	72
275	805	70
276	808	67
277	811	64
278	814	61
279	817	58
280	820	55
281	822	52
282	825	49
283	828	46
284	830	43
285	834	40
286	836	37
287	840	35
288	842	32
289	845	29
290	847	26
291	850	23
292	853	20
293	856	17
294	859	14
295	861	11
296	864	8
297	867	5
298	870	2
299	873	0
